,Unnamed: 0,Unnamed: 0.1,title,location1,location2,location3,area,orientation,room_type,price,url,ave_price
0,0,29052,整租·裕洲路151弄 3室2厅 南,崇明,陈家镇,裕洲路151弄,107,南,3室2厅1卫,2200,/zufang/SH1706191283124436992.html,20
1,1,29053,整租·裕鸿佳苑(裕展路679弄) 2室2厅 南,崇明,陈家镇,裕鸿佳苑(裕展路679弄),82,南,2室2厅1卫,2600,/zufang/SH1695434376164147200.html,31
2,2,29054,整租·江南滨江苑 3室2厅 南,崇明,长兴岛,江南滨江苑,104,南,3室2厅1卫,2000,/zufang/SH1715347921894899712.html,19
3,3,29055,整租·绿地瀛洲名苑 3室2厅 南/北,崇明,崇明新城,绿地瀛洲名苑,116,南 北,3室2厅2卫,4000,/zufang/SH1711591146808934400.html,34
4,4,29056,整租·花园弄29号 2室1厅 南/北,崇明,崇明新城,花园弄29号,44,南 北,2室1厅1卫,2100,/zufang/SH1715355935074942976.html,47
5,5,29057,整租·体北新村 2室1厅 南,崇明,陈家镇,体北新村,45,南,2室1厅1卫,1000,/zufang/SH1709047406668021760.html,22
6,6,29058,整租·绿地长兴家园 2室2厅 南,崇明,长兴岛,绿地长兴家园,80,南,2室2厅1卫,3000,/zufang/SH1713114570291150848.html,37
7,7,29059,整租·金珠花苑 2室1厅 南/北,崇明,崇明新城,金珠花苑,88,南 北,2室1厅1卫,2000,/zufang/SH1710304119920525312.html,22
8,8,29060,整租·裕鸿佳苑(裕国路328弄) 3室2厅 南,崇明,陈家镇,裕鸿佳苑(裕国路328弄),127,南,3室2厅2卫,2700,/zufang/SH1697831972967022592.html,21
9,9,29061,整租·通用昱墅 5室2厅 南,崇明,崇明其它,通用昱墅,410,南,5室2厅1卫,18000,/zufang/SH1650085919497125888.html,43
10,10,29062,整租·东滩花园 4室2厅 复式 南/北,崇明,陈家镇,东滩花园,179,南 北,4室2厅4卫,7500,/zufang/SH1660861754151796736.html,41
11,11,29063,整租·金日西苑 3室2厅 南,崇明,崇明新城,金日西苑,114,南,3室2厅2卫,1000,/zufang/SH1700864192644382720.html,8
12,12,29064,整租·览海高尔夫别墅 7室2厅 南/北,崇明,陈家镇,览海高尔夫别墅,347,南 北,7室2厅5卫,32000,/zufang/SH1669938328301993984.html,92
13,13,29065,整租·风清雅苑 3室2厅 南,崇明,崇明新城,风清雅苑,126,南,3室2厅1卫,1500,/zufang/SH1645770716919889920.html,11
14,14,29066,整租·裕鸿佳苑(裕展路450弄) 3室2厅 南,崇明,陈家镇,裕鸿佳苑(裕展路450弄),119,南,3室2厅2卫,2300,/zufang/SH1689609695976751104.html,19
15,15,29067,整租·裕鸿佳苑(裕盛路111弄) 3室2厅 南,崇明,陈家镇,裕鸿佳苑(裕盛路111弄),120,南,3室2厅0卫,1000,/zufang/SH1685575141435637760.html,8
16,16,29068,整租·东滩花园 4室2厅 南,崇明,陈家镇,东滩花园,209,南,4室2厅2卫,7000,/zufang/SH1652121873518952448.html,33
17,17,29069,整租·裕鸿佳苑(裕政路725弄) 3室2厅 南,崇明,陈家镇,裕鸿佳苑(裕政路725弄),118,南,3室2厅1卫,2300,/zufang/SH1691433607198932992.html,19
18,18,29070,整租·裕鸿佳苑(安通路151弄) 3室2厅 南,崇明,陈家镇,裕鸿佳苑(安通路151弄),134,南,3室2厅2卫,2800,/zufang/SH1684795251216089088.html,20
19,19,29071,整租·新城明月苑 3室2厅 南,崇明,崇明新城,新城明月苑,112,南,3室2厅1卫,2600,/zufang/SH1642030592247726080.html,23
20,20,29072,整租·新城明月苑 3室2厅 南/北,崇明,崇明新城,新城明月苑,112,南 北,3室2厅1卫,2800,/zufang/SH1696049718154493952.html,25
21,21,29073,整租·裕鸿佳苑(安通路1168弄) 3室1厅 南,崇明,陈家镇,裕鸿佳苑(安通路1168弄),110,南,3室1厅1卫,2300,/zufang/SH1664257517569441792.html,20
22,22,29074,整租·长兴家园 3室2厅 南,崇明,长兴岛,长兴家园,99,南,3室2厅1卫,4000,/zufang/SH1711348877371637760.html,40
23,23,29075,整租·前卫新村 2室1厅 南,崇明,长兴岛,前卫新村,43,南,2室1厅1卫,3000,/zufang/SH1692370501541822464.html,69
24,24,29076,整租·长兴家园 3室2厅 南,崇明,长兴岛,长兴家园,120,南,3室2厅2卫,3600,/zufang/SH1677522046491295744.html,30
25,25,29077,整租·长兴家园 3室2厅 东,崇明,长兴岛,长兴家园,100,东,3室2厅1卫,3800,/zufang/SH1701505017447448576.html,38
26,26,29078,整租·铂翠廷 3室2厅 南,金山,金山,铂翠廷,93,南,3室2厅2卫,4000,/zufang/SH1712335883312562176.html,43
27,27,29079,整租·梅州新村 2室1厅 南,金山,金山,梅州新村,59,南,2室1厅1卫,1500,/zufang/SH1697485351725039616.html,25
28,28,29080,整租·复地金石湾领墅 6室2厅 南/北,金山,金山,复地金石湾领墅,153,南 北,6室2厅2卫,10000,/zufang/SH1701466736030646272.html,65
29,29,29081,整租·海欣家园 3室2厅 南,金山,金山,海欣家园,123,南,3室2厅2卫,3000,/zufang/SH1710974266196885504.html,24
30,30,29082,整租·梅州新村 2室1厅 南,金山,金山,梅州新村,59,南,2室1厅1卫,1800,/zufang/SH1713168294384500736.html,30
31,31,29083,整租·华发招商依云四季 3室2厅 南/北,金山,金山,华发招商依云四季,91,南 北,3室2厅1卫,2500,/zufang/SH1688881232575725568.html,27
32,32,29084,整租·棕榈湾花园 3室2厅 南/北,金山,金山,棕榈湾花园,149,南 北,3室2厅2卫,4500,/zufang/SH1690957288002551808.html,30
33,33,29085,整租·金海岸花园 2室2厅 南,金山,金山,金海岸花园,89,南,2室2厅1卫,2500,/zufang/SH1709446336136347648.html,28
34,34,29086,整租·海棠新村 2室1厅 南/北,金山,金山,海棠新村,58,南 北,2室1厅1卫,1600,/zufang/SH1719693271078273024.html,27
35,35,29087,整租·山鑫公寓 3室2厅 南,金山,金山,山鑫公寓,114,南,3室2厅2卫,2100,/zufang/SH1705794756195385344.html,18
36,36,29088,整租·绿地金卫新家园（东区） 1室1厅 北,金山,金山,绿地金卫新家园（东区）,64,北,1室1厅1卫,1800,/zufang/SH1700808428777111552.html,28
37,37,29089,整租·新未来樾湖 3室2厅 南/北,金山,金山,新未来樾湖,89,南 北,3室2厅2卫,3500,/zufang/SH1698655670301097984.html,39
38,38,29090,整租·三岛龙州苑 2室2厅 南,金山,金山,三岛龙州苑,109,南,2室2厅1卫,3300,/zufang/SH1710995665355538432.html,30
39,39,29091,整租·铂翠廷 3室2厅 南,金山,金山,铂翠廷,95,南,3室2厅2卫,4200,/zufang/SH1697897909242036224.html,44
40,40,29092,整租·飞虹南村 3室2厅 南,金山,金山,飞虹南村,135,南,3室2厅2卫,2400,/zufang/SH1708147020960628736.html,17
41,41,29093,整租·华发招商依云四季 3室2厅 南/北,金山,金山,华发招商依云四季,91,南 北,3室2厅1卫,2500,/zufang/SH1705856064446005248.html,27
42,42,29094,整租·铂翠廷 3室2厅 南,金山,金山,铂翠廷,95,南,3室2厅1卫,2000,/zufang/SH1693870938992410624.html,21
43,43,29095,整租·德贤佳苑 2室2厅 南,金山,金山,德贤佳苑,139,南,2室2厅1卫,2800,/zufang/SH1668552211648479232.html,20
44,44,29096,整租·光明金山府 2室2厅 南,金山,金山,光明金山府,92,南,2室2厅1卫,3500,/zufang/SH1704691396562124800.html,38
45,45,29097,整租·飞虹北村 4室1厅 南,金山,金山,飞虹北村,110,南,4室1厅1卫,2000,/zufang/SH1718103299338534912.html,18
46,46,29098,整租·碧桂园凤凰城 3室2厅 南,金山,金山,碧桂园凤凰城,93,南,3室2厅2卫,4200,/zufang/SH1697474447167979520.html,45
47,47,29099,整租·飞虹南村 3室1厅 南,金山,金山,飞虹南村,106,南,3室1厅1卫,1600,/zufang/SH1698990458295812096.html,15
48,48,29100,整租·绿地玲珑寓 2室1厅 南,金山,金山,绿地玲珑寓,64,南,2室1厅1卫,1600,/zufang/SH1708489080485969920.html,25
49,49,29101,整租·老卫清路28号 2室1厅 南,金山,金山,老卫清路28号,65,南,2室1厅1卫,1500,/zufang/SH1715360165034721280.html,23
50,50,29102,整租·东礁一村 1室1厅 南,金山,金山,东礁一村,41,南,1室1厅1卫,1300,/zufang/SH1709126647862525952.html,31
51,51,29103,整租·海棠新村 2室1厅 南,金山,金山,海棠新村,58,南,2室1厅1卫,2000,/zufang/SH1709152812295782400.html,34
52,52,29104,整租·海上纳缇 3室2厅 南,金山,金山,海上纳缇,122,南,3室2厅1卫,6500,/zufang/SH1718493765900959744.html,53
53,53,29105,整租·金山万达海汇街 1室1厅 南,金山,金山,金山万达海汇街,56,南,1室1厅1卫,1600,/zufang/SH1713370453994635264.html,28
54,54,29106,整租·绿地东海岸财富广场 1室0厅 南,金山,金山,绿地东海岸财富广场,65,南,1室0厅0卫,1500,/zufang/SH1691422719851102208.html,23
55,55,29107,整租·临潮二村 2室1厅 南,金山,金山,临潮二村,59,南,2室1厅1卫,2000,/zufang/SH1595637457934614528.html,33
56,56,29108,整租·绿地东海岸财富广场 1室1厅 西南,金山,金山,绿地东海岸财富广场,60,西南,1室1厅0卫,1300,/zufang/SH1664951994885865472.html,21
57,57,29109,整租·海辰馨苑 4室2厅 南,金山,金山,海辰馨苑,208,南,4室2厅3卫,4700,/zufang/SH1680144342552936448.html,22
58,58,29110,整租·山龙新村 3室1厅 南,金山,金山,山龙新村,100,南,3室1厅1卫,2300,/zufang/SH1662060813147439104.html,23
59,59,29111,整租·绿地金山名邸 3室2厅 南,金山,金山,绿地金山名邸,89,南,3室2厅1卫,2900,/zufang/SH1708461392392093696.html,32
60,60,29112,整租·绿地东海岸财富广场 2室1厅 南,金山,金山,绿地东海岸财富广场,64,南,2室1厅1卫,2400,/zufang/SH1711000941664141312.html,37
61,61,29113,整租·华发招商依云四季 3室1厅 南/北,金山,金山,华发招商依云四季,91,南 北,3室1厅1卫,2600,/zufang/SH1690281759679184896.html,28
62,62,29115,整租·辰凯花苑 2室1厅 南,金山,金山,辰凯花苑,85,南,2室1厅1卫,2100,/zufang/SH1705199123566690304.html,24
63,63,29118,整租·临潮二村 2室1厅 南,金山,金山,临潮二村,54,南,2室1厅1卫,1800,/zufang/SH1697884393453912064.html,33
64,64,29119,整租·绿地金卫新家园（东区） 3室2厅 南,金山,金山,绿地金卫新家园（东区）,112,南,3室2厅1卫,1500,/zufang/SH1673929095626358784.html,13
65,65,29120,整租·上置海景大厦 2室1厅 南,金山,金山,上置海景大厦,92,南,2室1厅1卫,4200,/zufang/SH1675835234433630208.html,45
66,66,29121,整租·龙泽园 3室2厅 南,金山,金山,龙泽园,134,南,3室2厅2卫,3800,/zufang/SH1716675162918617088.html,28
67,67,29122,整租·海上纳缇 4室3厅 南,金山,金山,海上纳缇,303,南,4室3厅3卫,10000,/zufang/SH1705137833548709888.html,33
68,68,29124,整租·蓝色收获龙宇路999弄 2室2厅 南,金山,金山,蓝色收获龙宇路999弄,93,南,2室2厅1卫,2800,/zufang/SH1581230657168736256.html,30
69,69,29125,整租·绿地金卫新家园（西区） 3室2厅 南,金山,金山,绿地金卫新家园（西区）,118,南,3室2厅1卫,1900,/zufang/SH1709052144251830272.html,16
70,70,29126,整租·中环和乐苑 2室1厅 南/北,杨浦,周家嘴路,中环和乐苑,69,南 北,2室1厅1卫,6200,/zufang/SH1706981386243538944.html,89
71,71,29127,整租·华润置地橡树湾 3室2厅 南,杨浦,新江湾城,华润置地橡树湾,176,南,3室2厅2卫,23000,/zufang/SH1696183643019411456.html,130
72,72,29128,整租·梅林公寓 2室1厅 北,杨浦,周家嘴路,梅林公寓,63,北,2室1厅1卫,5000,/zufang/SH1695712826414333952.html,79
73,73,29129,整租·绿地海珀璞晖 3室2厅 南,杨浦,新江湾城,绿地海珀璞晖,126,南,3室2厅2卫,17000,/zufang/SH1709872994311995392.html,134
74,74,29130,整租·建新小区 2室0厅 南/北,杨浦,五角场,建新小区,48,南 北,2室0厅1卫,6200,/zufang/SH1712727643876491264.html,129
75,75,29131,整租·三门路510弄 3室1厅 南,杨浦,五角场,三门路510弄,76,南,3室1厅1卫,7200,/zufang/SH1704441838494023680.html,94
76,76,29132,整租·江升公寓 2室2厅 南/北,杨浦,周家嘴路,江升公寓,135,南 北,2室2厅1卫,8500,/zufang/SH1712694264422465536.html,62
77,77,29133,整租·市光四村 2室1厅 南/北,杨浦,中原,市光四村,59,南 北,2室1厅1卫,4700,/zufang/SH1663810862546157568.html,79
78,78,29134,整租·工农二村 1室0厅 南,杨浦,中原,工农二村,18,南,1室0厅1卫,3500,/zufang/SH1652318733101694976.html,194
79,79,29135,整租·黑山小区 2室1厅 南/北,杨浦,中原,黑山小区,50,南 北,2室1厅1卫,5400,/zufang/SH1688393995710889984.html,108
80,80,29136,整租·华润置地橡树湾 2室1厅 南,杨浦,新江湾城,华润置地橡树湾,62,南,2室1厅1卫,8500,/zufang/SH1715963836143501312.html,137
81,81,29137,整租·民星住宅小区 2室1厅 南,杨浦,中原,民星住宅小区,58,南,2室1厅1卫,5000,/zufang/SH1710982916059693056.html,86
82,82,29138,整租·紫华丽苑 2室1厅 南,杨浦,周家嘴路,紫华丽苑,72,南,2室1厅1卫,8600,/zufang/SH1707374838101835776.html,119
83,83,29139,整租·浣纱三村 1室1厅 南,杨浦,黄兴公园,浣纱三村,41,南,1室1厅1卫,4500,/zufang/SH1714616909325926400.html,109
84,84,29140,整租·本溪路149弄 1室0厅 北,杨浦,鞍山,本溪路149弄,23,北,1室0厅1卫,3150,/zufang/SH1714620879607955456.html,136
85,85,29141,整租·公园3000黄兴花园 1室1厅 南,杨浦,黄兴公园,公园3000黄兴花园,49,南,1室1厅1卫,5200,/zufang/SH1678027279332016128.html,106
86,86,29142,整租·市光三村 1室0厅 南,杨浦,中原,市光三村,37,南,1室0厅1卫,3400,/zufang/SH1709902860629573632.html,91
87,87,29143,整租·宝地东花园 3室2厅 南,杨浦,周家嘴路,宝地东花园,120,南,3室2厅1卫,14000,/zufang/SH1695290553366740992.html,116
88,88,29144,整租·唐山路1280弄 2室1厅 南,杨浦,周家嘴路,唐山路1280弄,44,南,2室1厅1卫,5400,/zufang/SH1691102911813124096.html,122
89,89,29145,整租·凤城二村 1室0厅 南,杨浦,控江路,凤城二村,32,南,1室0厅1卫,3500,/zufang/SH1653781299590070272.html,109
90,90,29146,整租·工农四村星源公寓 2室1厅 南/北,杨浦,中原,工农四村星源公寓,73,南 北,2室1厅1卫,6000,/zufang/SH1709453083446083584.html,82
91,91,29147,整租·国伟路58弄 1室1厅 南,杨浦,中原,国伟路58弄,46,南,1室1厅1卫,4000,/zufang/SH1706621313545666560.html,86
92,92,29148,整租·辽源二村 1室0厅 南,杨浦,鞍山,辽源二村,16,南,1室0厅1卫,3100,/zufang/SH1708750846725980160.html,193
93,93,29149,整租·国和一村 1室1厅 南,杨浦,中原,国和一村,40,南,1室1厅1卫,4200,/zufang/SH1718832595728334848.html,105
94,94,29150,整租·林厦小区 1室2厅 南,杨浦,周家嘴路,林厦小区,35,南,1室2厅1卫,5000,/zufang/SH1697468133452808192.html,142
95,95,29151,整租·上海大花园 2室2厅 南,杨浦,周家嘴路,上海大花园,122,南,2室2厅1卫,13000,/zufang/SH1715592733264969728.html,106
96,96,29152,整租·闸殷小区 3室1厅 南/北,杨浦,中原,闸殷小区,80,南 北,3室1厅1卫,6000,/zufang/SH1685198180502732800.html,75
97,97,29153,整租·打虎大楼 2室1厅 南,杨浦,鞍山,打虎大楼,53,南,2室1厅1卫,6000,/zufang/SH1716005863681949696.html,113
98,98,29154,整租·公交新村 1室0厅 南,杨浦,鞍山,公交新村,32,南,1室0厅1卫,4000,/zufang/SH1711347796205895680.html,125
99,99,29155,整租·汇丰苑 2室1厅 南,杨浦,五角场,汇丰苑,66,南,2室1厅1卫,7300,/zufang/SH1705533059765370880.html,110
100,100,29156,整租·兰花新村 2室1厅 南/北,杨浦,黄兴公园,兰花新村,49,南 北,2室1厅1卫,5800,/zufang/SH1680410315189125120.html,118
101,101,29157,整租·兰花教师公寓 3室1厅 南/北,杨浦,黄兴公园,兰花教师公寓,82,南 北,3室1厅1卫,8500,/zufang/SH1699669275544911872.html,103
102,102,29158,整租·复旦教师公寓 2室0厅 南,杨浦,五角场,复旦教师公寓,48,南,2室0厅1卫,5500,/zufang/SH1676460244210810880.html,114
103,103,29159,整租·信达泰禾上海院子 3室2厅 南,杨浦,新江湾城,信达泰禾上海院子,89,南,3室2厅2卫,13300,/zufang/SH1676435391361581056.html,149
104,104,29160,整租·新江湾城雍景苑 2室2厅 南,杨浦,新江湾城,新江湾城雍景苑,102,南,2室2厅1卫,8600,/zufang/SH1694251850519281664.html,84
105,105,29161,整租·市光四村 2室1厅 南,杨浦,中原,市光四村,58,南,2室1厅1卫,5000,/zufang/SH1713541881742229504.html,86
106,106,29162,整租·合生江湾国际公寓 3室2厅 南,杨浦,新江湾城,合生江湾国际公寓,140,南,3室2厅2卫,13600,/zufang/SH1717943425279459328.html,97
107,107,29163,整租·市光四村 2室1厅 南,杨浦,中原,市光四村,64,南,2室1厅1卫,5000,/zufang/SH1699785333928886272.html,78
108,108,29164,整租·崇业小区 1室0厅 南,杨浦,东外滩,崇业小区,29,南,1室0厅1卫,4200,/zufang/SH1691084272510697472.html,144
109,109,29165,整租·世和园 1室1厅 南,杨浦,中原,世和园,53,南,1室1厅1卫,5600,/zufang/SH1713075112145584128.html,105
110,110,29166,整租·六达苑 1室1厅 南,杨浦,周家嘴路,六达苑,65,南,1室1厅1卫,5500,/zufang/SH1675467098026934272.html,84
111,111,29167,整租·和瑞雅苑 2室1厅 南,杨浦,周家嘴路,和瑞雅苑,71,南,2室1厅1卫,7500,/zufang/SH1689512171102273536.html,105
112,112,29168,整租·平凉路1695弄 3室1厅 南,杨浦,周家嘴路,平凉路1695弄,96,南,3室1厅1卫,9200,/zufang/SH1716318164674936832.html,95
113,113,29169,整租·阳明新城 2室1厅 西北,杨浦,周家嘴路,阳明新城,66,西北,2室1厅2卫,7500,/zufang/SH1716097660995239936.html,113
114,114,29175,整租·鞍山路310弄 2室1厅 南,杨浦,鞍山,鞍山路310弄,90,南,2室1厅1卫,9500,/zufang/SH1719219335383220224.html,105
115,115,29176,整租·民治路15弄 2室1厅 东/南,杨浦,周家嘴路,民治路15弄,74,东 南,2室1厅1卫,5200,/zufang/SH1684086275545497600.html,70
116,116,29178,整租·上海大花园 2室2厅 南,杨浦,周家嘴路,上海大花园,145,南,2室2厅2卫,13000,/zufang/SH1713064085056126976.html,89
117,117,29182,整租·铁路新村(杨浦) 1室0厅 南,杨浦,五角场,铁路新村(杨浦),32,南,1室0厅1卫,5300,/zufang/SH1703655476694089728.html,165
118,118,29183,整租·兰花新村 2室1厅 南,杨浦,黄兴公园,兰花新村,47,南,2室1厅1卫,6100,/zufang/SH1694351513280839680.html,129
119,119,29186,整租·辰凯紫薇苑 2室2厅 跃层 南,金山,金山,辰凯紫薇苑,89,南,2室2厅1卫,3000,/zufang/SH1698194549484027904.html,33
120,120,29187,整租·万盛金邸 2室2厅 南,金山,金山,万盛金邸,86,南,2室2厅2卫,3400,/zufang/SH1717092511052201984.html,39
121,121,29188,整租·龙泽园 3室2厅 南,金山,金山,龙泽园,138,南,3室2厅2卫,4500,/zufang/SH1709184264026718208.html,32
122,122,29189,整租·石化十村 2室1厅 南,金山,金山,石化十村,52,南,2室1厅1卫,1200,/zufang/SH1618881014988275712.html,23
123,123,29190,整租·东礁四村 2室1厅 南,金山,金山,东礁四村,55,南,2室1厅1卫,1600,/zufang/SH1709779263336480768.html,29
124,124,29191,整租·新华御湖上园 3室2厅 南,金山,金山,新华御湖上园,85,南,3室2厅1卫,2600,/zufang/SH1706953498060390400.html,30
125,125,29192,整租·华发招商依云四季 3室2厅 南/北,金山,金山,华发招商依云四季,91,南 北,3室2厅1卫,2800,/zufang/SH1711296724766556160.html,30
126,126,29193,整租·滨海四村 2室1厅 南,金山,金山,滨海四村,60,南,2室1厅1卫,1600,/zufang/SH1709053283634511872.html,26
127,127,29194,整租·龙泽园 2室2厅 南/北,金山,金山,龙泽园,99,南 北,2室2厅1卫,3000,/zufang/SH1708397729513734144.html,30
128,128,29195,整租·金悦华庭 2室2厅 南,金山,金山,金悦华庭,86,南,2室2厅1卫,3000,/zufang/SH1710927099834925056.html,34
129,129,29196,整租·铂翠廷 3室2厅 南,金山,金山,铂翠廷,95,南,3室2厅2卫,2500,/zufang/SH1708790267701624832.html,26
130,130,29197,整租·龙泽园 2室2厅 南,金山,金山,龙泽园,88,南,2室2厅1卫,3000,/zufang/SH1709050910912544768.html,34
131,131,29198,整租·新华御湖上园 3室1厅 南,金山,金山,新华御湖上园,88,南,3室1厅2卫,2500,/zufang/SH1712388358329597952.html,28
132,132,29199,整租·绿地金山名邸 3室2厅 南,金山,金山,绿地金山名邸,89,南,3室2厅1卫,3000,/zufang/SH1712753086948179968.html,33
133,133,29200,整租·新华御湖上园 3室2厅 南,金山,金山,新华御湖上园,90,南,3室2厅2卫,3000,/zufang/SH1705218627650715648.html,33
134,134,29201,整租·金海岸花园 2室2厅 南,金山,金山,金海岸花园,101,南,2室2厅1卫,3000,/zufang/SH1708334398438375424.html,29
135,135,29204,整租·万达华府 3室2厅 南,金山,金山,万达华府,116,南,3室2厅2卫,4300,/zufang/SH1668489028497833984.html,37
136,136,29205,整租·新未来樾湖 3室2厅 南,金山,金山,新未来樾湖,89,南,3室2厅2卫,4000,/zufang/SH1698621502674436096.html,44
137,137,29206,整租·辰凯花苑 2室1厅 南,金山,金山,辰凯花苑,77,南,2室1厅1卫,1800,/zufang/SH1700727427895918592.html,23
138,138,29207,整租·海上纳缇 3室2厅 南,金山,金山,海上纳缇,162,南,3室2厅2卫,6500,/zufang/SH1677150765447118848.html,40
139,139,29208,整租·龙泽园 3室2厅 南,金山,金山,龙泽园,133,南,3室2厅2卫,4600,/zufang/SH1681161870263713792.html,34
140,140,29209,整租·万达华府 3室2厅 南,金山,金山,万达华府,116,南,3室2厅1卫,4300,/zufang/SH1690026532153589760.html,37
141,141,29210,整租·正荣御首府 2室2厅 南/北,金山,金山,正荣御首府,87,南 北,2室2厅1卫,3000,/zufang/SH1708075326422122496.html,34
142,142,29211,整租·宝华海湾城 2室1厅 南/北,金山,金山,宝华海湾城,87,南 北,2室1厅1卫,3000,/zufang/SH1708681220205838336.html,34
143,143,29213,整租·万盛金邸 2室1厅 南,金山,金山,万盛金邸,85,南,2室1厅1卫,3200,/zufang/SH1703307511215423488.html,37
144,144,29214,整租·海棠新村 2室1厅 南,金山,金山,海棠新村,53,南,2室1厅1卫,1650,/zufang/SH1706594054726221824.html,31
145,145,29215,整租·海趣馨苑 2室2厅 南,金山,金山,海趣馨苑,85,南,2室2厅1卫,3000,/zufang/SH1703370457102680064.html,35
146,146,29216,整租·信达泰禾上海院子 4室2厅 南,杨浦,新江湾城,信达泰禾上海院子,345,南,4室2厅3卫,25000,/zufang/SH1590305546202775552.html,72
147,147,29217,整租·市光二村 2室1厅 东南,杨浦,中原,市光二村,70,东南,2室1厅1卫,4800,/zufang/SH1704717330757451776.html,68
148,148,29218,整租·市光四村 1室1厅 南,杨浦,中原,市光四村,42,南,1室1厅1卫,4200,/zufang/SH1718189660871589888.html,100
149,149,29219,整租·世界路99弄 1室1厅 南,杨浦,中原,世界路99弄,52,南,1室1厅1卫,4000,/zufang/SH1714533012080689152.html,76
